heritage_id,common_name,scientific_name,location_description,hyperlink,longitude,latitude
HT 2020-314,Selembat,Syzygium conglomeratum (Duthie) I.M.Turner,,https://heritagetrees.nparks.gov.sg/ht-2020-314/,103.78786000003946,1.4026899998878621
HT 2003-45,,Buchanania arborescens (Blume) Blume,,https://heritagetrees.nparks.gov.sg/ht-2003-45/,103.97417619956771,1.3893939002166713
HT 2003-73,,Ficus stricta (Miq.) Miq.,,https://heritagetrees.nparks.gov.sg/ht-2003-73/,103.98192990006983,1.39176356997308
HT 2003-72,,Ficus stricta (Miq.) Miq.,,https://heritagetrees.nparks.gov.sg/ht-2003-72/,103.9818903997078,1.3915500799606408
HT 2022-320,,Alstonia angustiloba Miq.,,https://heritagetrees.nparks.gov.sg/ht-2022-320/,103.81284000041377,1.3700800002261864
HT 2003-116,,Sloetia elongata (Miq.) Koord.,,https://heritagetrees.nparks.gov.sg/ht-2003-116/,103.97471679976982,1.3901264899637913
HT 2023-324,,Bhesa robusta (Roxb.) Ding Hou,,https://heritagetrees.nparks.gov.sg/ht-2023-324/,103.81621999978051,1.2566300004427746
HT 2018-294,,Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.,,https://heritagetrees.nparks.gov.sg/ht-2018-294/,103.78020830012939,1.4366331804296035
HT 2003-110,,Samanea saman (Jacq.) Merr.,,https://heritagetrees.nparks.gov.sg/ht-2003-110/,103.84614599999121,1.3241617401929757
HT 2001-15,Red Mahogany,Khaya nyasica,Guillemard Road Open Space,https://heritagetrees.nparks.gov.sg/ht-2001-15/,103.89244016375616,1.3146806337341728
HT 2007-154,Durian Kampong,Durio zibethinus L.,"Pulau Ubin, in forested knoll off Jalan Batu Ubin behind cemetery grounds",https://heritagetrees.nparks.gov.sg/ht-2007-154/,103.96641380010833,1.4072977602861225
HT 2021-318,Penaga Laut,Calophyllum inophyllum L.,"East Coast Park Area F, Bedok Jetty",https://heritagetrees.nparks.gov.sg/ht-2021-318/,103.94097767480835,1.3082732206303382
HT 2018-299,Chinese Olive,Canarium vulgare Leenh.,"Singapore Botanic Gardens, Tyersall Learning Forest (Canarium Pond area)",https://heritagetrees.nparks.gov.sg/ht-2018-299/,103.8131551999966,1.310133689679882
HT 2003-40,Common Pulai,Alstonia angustiloba Miq.,,https://heritagetrees.nparks.gov.sg/ht-2003-40/,103.83392599999284,1.24821408002682
HT 2003-58,Tembusu,Cyrtophyllum fragrans (Roxb.) DC.,,https://heritagetrees.nparks.gov.sg/ht-2003-58/,103.81710690021133,1.2536813301152985
