OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,SHAPE.AREA,SHAPE.LEN,area_sq_km,heritage_tree_count,heritage_trees_per_sq_km,hdb_building_count,heritage_trees_per_100_hdb_buildings,tree_proxy_warning
770,2,SUNSET WAY,CLSZ02,N,CLEMENTI,CL,WEST REGION,WR,7A55C92019905E51,20191223152313,963924.60529782,4576.78384774378,0.9704,0,0.0,21,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
827,1,ANAK BUKIT,BTSZ01,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,4BAD8B2C9CEBF3F2,20191223152313,2773296.71089813,7652.4938586092,2.792,0,0.0,21,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
828,2,SWISS CLUB,BTSZ02,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,DE0B35BEB9BBF846,20191223152313,3468506.19409683,8978.04630163206,3.4919,1,0.286,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
829,5,XILIN,TMSZ05,N,TAMPINES,TM,EAST REGION,ER,D7CC715E7F50844C,20191223152313,7655818.7275575,12870.6895396898,7.7074,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
830,3,FABER,CLSZ03,N,CLEMENTI,CL,WEST REGION,WR,8F452E1B04F07387,20191223152313,948158.92224658,4665.7563941954,0.9545,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
831,3,MALCOLM,NVSZ03,N,NOVENA,NV,CENTRAL REGION,CR,AD436483B5AE1420,20191223152313,1319112.31578618,5326.03947880716,1.328,1,0.753,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
832,6,BEDOK SOUTH,BDSZ06,N,BEDOK,BD,EAST REGION,ER,C2822F66552B6BDB,20191223152313,2997307.45909631,7811.58902532202,3.0175,2,0.663,111,1.802,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
840,9,DEFU INDUSTRIAL PARK,HGSZ09,N,HOUGANG,HG,NORTH-EAST REGION,NER,42B919E904B77059,20191223152313,1974132.04883056,8517.58367661179,1.9874,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
841,1,CHANGI BAY,CBSZ01,N,CHANGI BAY,CB,EAST REGION,ER,3C54F5389C04FCCE,20191223152313,1972607.71978248,19264.397307735,1.9859,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
842,2,PAYA LEBAR EAST,PLSZ02,N,PAYA LEBAR,PL,EAST REGION,ER,4A68EB83EA84BA89,20191223152313,2259237.2540815,7470.16457434074,2.2745,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
843,2,HONG KAH NORTH,BKSZ02,N,BUKIT BATOK,BK,WEST REGION,WR,7688003183213EBF,20191223152313,859179.18007527,3842.99403041974,0.865,0,0.0,104,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
844,6,KOVAN,HGSZ06,N,HOUGANG,HG,NORTH-EAST REGION,NER,19C0ECAF2E3AE59A,20191223152313,1948613.20544233,5644.28774956065,1.9617,0,0.0,12,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
845,3,CHONG BOON,AMSZ03,N,ANG MO KIO,AM,NORTH-EAST REGION,NER,94B98B182E1B853F,20191223152313,1078622.32407028,4710.53872999384,1.0859,0,0.0,81,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
846,4,SERANGOON GARDEN,SGSZ04,N,SERANGOON,SG,NORTH-EAST REGION,NER,9E333AF1E3047F58,20191223152313,3023148.98135381,6972.41909361026,3.0435,0,0.0,77,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
847,1,HOUGANG CENTRAL,HGSZ01,N,HOUGANG,HG,NORTH-EAST REGION,NER,C4419A9A8D05E0DF,20191223152313,441733.440163775,2759.81546607898,0.4447,1,2.249,22,4.545,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
848,7,LOYANG EAST,PRSZ07,N,PASIR RIS,PR,EAST REGION,ER,F8BE10A6A300E9F9,20191223152313,972128.17337666,4192.47027794129,0.9787,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
849,6,DAIRY FARM,BPSZ06,N,BUKIT PANJANG,BP,WEST REGION,WR,E8E8327C1217034C,20191223152313,1235901.75163543,4814.19537542338,1.2442,0,0.0,0,,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
850,5,PASIR RIS DRIVE,PRSZ05,N,PASIR RIS,PR,EAST REGION,ER,833173AFA73BCF94,20191223152313,1639836.6411068,5314.6232346855,1.6509,0,0.0,261,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
851,1,TAMPINES NORTH,TMSZ01,N,TAMPINES,TM,EAST REGION,ER,619A4A5A72D3F75A,20191223152313,2543106.63427314,7128.35539054179,2.5602,0,0.0,139,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
852,2,CHENG SAN,AMSZ02,N,ANG MO KIO,AM,NORTH-EAST REGION,NER,504511A82C516D62,20191223152313,955710.18870096,4218.95806161774,0.9622,0,0.0,88,0.0,"Counts use NParks Heritage Trees as a legal point proxy, not all Singapore trees."
